Alex Abrines,G,19,0.923,0.487,5.3,1.5,0.6,0.55,0.19
Quincy Acy,F,12.3,0.7,0.278,1.7,2.5,0.8,0.1,0.4
Jaylen Adams,G,12.6,0.778,0.459,3.2,1.8,1.9,0.38,0.15
Steven Adams,C,33.4,0.5,0.595,13.9,9.5,1.6,1.49,0.96
Bam Adebayo,C-F,23.3,0.735,0.579,8.9,7.3,2.2,0.88,0.79
Deng Adel,F,10.2,1,0.389,1.7,1,0.3,0.05,0.21
DeVaughn Akoon-Purcell,G-F,3.1,0.5,0.3,1,0.6,0.9,0.29,0
LaMarcus Aldridge,F,33.2,0.847,0.522,21.3,9.2,2.4,0.54,1.32
Rawle Alkins,G,12,0.667,0.372,3.7,2.6,1.3,0.1,0
Grayson Allen,G,11,0.75,0.466,5.6,0.6,0.7,0.13,0.16
Jarrett Allen,C,26.2,0.709,0.595,10.9,8.4,1.4,0.54,1.5
Kadeem Allen,G,21.9,0.778,0.525,9.9,2.7,4,0.84,0.21
Al-Farouq Aminu,F,28.3,0.867,0.514,9.4,7.5,1.3,0.84,0.41
Justin Anderson,G-F,9.7,0.743,0.484,3.7,1.8,0.5,0.46,0.27
Kyle Anderson,F,29.8,0.578,0.56,8,5.9,3,1.26,0.86
Ryan Anderson,F,18.5,0.786,0.375,3.7,3,1.1,0.2,0.07
Ryan Anderson,F,4.4,0.5,0.333,0.7,0.9,0.2,0.1,0
Ike Anigbogu,C,2.1,0,0,0,1,0.3,0,0.33
Giannis Antetokounmpo,F,32.8,0.729,0.599,27.7,12.5,5.9,1.26,1.53
Kostas Antetokounmpo,F,5.3,0.5,0,1,0.5,0,1,0
Carmelo Anthony,F,29.4,0.682,0.492,13.4,5.4,0.5,0.4,0.7
OG Anunoby,F,20.2,0.581,0.536,7,2.9,0.7,0.69,0.33
Ryan Arcidiacono,G,24.2,0.873,0.543,6.7,2.7,3.3,0.8,0.06
Trevor Ariza,F,34,0.837,0.489,9.9,5.6,3.3,1.46,0.31
Trevor Ariza,F,34.1,0.777,0.502,14.1,5.2,3.8,1.23,0.3
D.J. Augustin,G,28,0.866,0.566,11.7,2.5,5.3,0.64,0.05
Deandre Ayton,C,30.7,0.746,0.585,16.3,10.3,1.8,0.87,0.94
Dwayne Bacon,G-F,17.6,0.739,0.549,7.3,2.1,1.1,0.28,0.12
Marvin Bagley III,F,25.3,0.691,0.525,14.9,7.6,1,0.53,0.95
Ron Baker,G,9.7,0.833,0.281,1.3,0.7,1.2,0.36,0
Ron Baker,G,11.4,0,0,0,1,0.5,0.25,0.25
Wade Baldwin IV,G,5.9,0.727,0.333,1.9,0.9,0.8,0.06,0.13
Lonzo Ball,G,30.3,0.417,0.488,9.9,5.3,5.4,1.47,0.4
Mo Bamba,C,16.3,0.587,0.525,6.2,4.9,0.8,0.28,1.36
J.J. Barea,G,19.8,0.705,0.468,10.9,2.5,5.6,0.58,0
Harrison Barnes,F,32.3,0.833,0.489,17.7,4.2,1.3,0.67,0.22
Harrison Barnes,F,33.9,0.8,0.542,14.3,5.5,1.9,0.61,0.07
Will Barton,G,27.7,0.77,0.475,11.5,4.6,2.9,0.42,0.51
Keita Bates-Diop,F,16.8,0.643,0.468,5,2.8,0.6,0.6,0.47
Nicolas Batum,G-F,31.4,0.865,0.552,9.3,5.2,3.3,0.95,0.57
Jerryd Bayless,G,19.3,0.571,0.42,6.1,1.9,3.5,0.53,0.06
Aron Baynes,F-C,16.1,0.855,0.518,5.6,4.7,1.1,0.24,0.67
Kent Bazemore,G,24.5,0.722,0.472,11.6,3.9,2.3,1.33,0.63
Bradley Beal,G,36.9,0.808,0.54,25.6,5,5.5,1.5,0.7
Malik Beasley,G,23.2,0.848,0.583,11.3,2.5,1.2,0.68,0.12
Michael Beasley,F,10.7,0.718,0.5,7,2.3,1,0.35,0.38
Marco Belinelli,G-F,23,0.903,0.52,10.5,2.5,1.7,0.44,0.1
Jordan Bell,F,11.6,0.61,0.516,3.3,2.7,1.1,0.26,0.76
DeAndre' Bembry,F,23.6,0.64,0.486,8.4,4.4,2.5,1.28,0.51
Dragan Bender,F,18,0.593,0.503,5,4,1.2,0.39,0.5
Davis Bertans,F,21.5,0.883,0.61,8,3.5,1.3,0.46,0.43
Dairis Bertans,G,13.9,0,0.362,2.8,0.8,0.8,0.08,0
Patrick Beverley,G,27.4,0.78,0.526,7.6,4.9,3.9,0.86,0.55
Khem Birch,C,12.9,0.699,0.603,4.8,3.8,0.8,0.36,0.6
Bismack Biyombo,C,14.5,0.637,0.567,4.4,4.6,0.6,0.19,0.76
Nemanja Bjelica,F,23.2,0.761,0.566,9.6,5.8,1.9,0.7,0.71
Antonio Blakeney,G,14.5,0.658,0.465,7.3,1.9,0.7,0.21,0.16
Eric Bledsoe,G,29.1,0.75,0.547,15.9,4.6,5.5,1.51,0.37
Jaron Blossomgame,F,16.3,0.769,0.486,4.2,3.6,0.5,0.26,0.3
Bojan Bogdanovic,F,31.8,0.807,0.575,18,4.1,2,0.86,0.01
Bogdan Bogdanovic,G,27.8,0.827,0.496,14.1,3.5,3.8,1.03,0.21
Andrew Bogut,C,12.2,1,0.5,3.5,5,1,0.27,0.73
Jonah Bolden,F,14.5,0.481,0.599,4.7,3.8,0.9,0.39,0.89
Isaac Bonga,G,5.5,0.6,0.152,0.9,1.1,0.7,0.41,0.18
Devin Booker,G,35,0.866,0.521,26.6,4.1,6.8,0.88,0.2
Chris Boucher,F,5.8,0.867,0.526,3.3,2,0.1,0.21,0.86
Avery Bradley,G,29.9,0.8,0.452,8.2,2.7,2,0.55,0.33
Avery Bradley,G,31.6,0.92,0.537,16.1,3.2,4,1,0
Tony Bradley,C,12,0.5,0.5,5.7,5,0.3,0.67,0.67
Corey Brewer,G-F,19.9,0.692,0.449,7.6,2.4,1.4,1.71,0.29
Corey Brewer,G-F,14.7,0.733,0.514,4.1,2.5,1.2,0.83,0.21
Miles Bridges,F,21.2,0.753,0.527,7.5,4.1,1.2,0.68,0.61
Mikal Bridges,F,29.5,0.805,0.523,8.3,3.2,2.1,1.55,0.46
Isaiah Briscoe,G,14.3,0.577,0.438,3.5,1.9,2.2,0.28,0.05
Ryan Broekhoff,G-F,10.8,0.789,0.598,4,1.5,0.5,0.14,0.1
Malcolm Brogdon,G,28.6,0.928,0.576,15.6,4.5,3.2,0.72,0.19
Dillon Brooks,G-F,18.3,0.733,0.463,7.5,1.7,0.9,0.56,0.22
MarShon Brooks,G,13.3,0.697,0.494,6.6,1.6,0.9,0.31,0.14
Troy Brown Jr.,F,14,0.681,0.462,4.8,2.8,1.5,0.4,0.1
Bruce Brown,G,19.6,0.75,0.435,4.3,2.5,1.2,0.54,0.49
Jaylen Brown,F,25.9,0.658,0.525,13,4.2,1.4,0.95,0.43
Lorenzo Brown,G,8.2,1,0.366,2.1,1.2,1.1,0.46,0.19
Sterling Brown,G,17.8,0.69,0.55,6.4,3.2,1.4,0.43,0.14
Jalen Brunson,G,21.8,0.725,0.523,9.3,2.3,3.2,0.51,0.05
Thomas Bryant,C,20.8,0.781,0.647,10.5,6.3,1.3,0.35,0.93
Reggie Bullock,F,30.8,0.875,0.542,12.1,2.8,2.5,0.55,0.11
Reggie Bullock,G-F,27.6,0.81,0.523,9.3,2.6,1.1,0.84,0.37
Trey Burke,G,20.9,0.827,0.455,11.8,1.8,2.8,0.64,0.15
Trey Burke,G,17.4,0.837,0.529,9.7,1.5,2.6,0.48,0.08
Alec Burks,G,15.8,0.868,0.482,8.4,1.6,1.2,0.35,0.24
Alec Burks,G,28.8,0.806,0.466,11.6,5.5,2.9,0.74,0.47
Alec Burks,G,9.7,0.8,0.45,1.7,1.7,0.8,0.62,0.08
Deonte Burton,G,7.5,0.667,0.451,2.6,0.9,0.3,0.19,0.25
Jimmy Butler,G-F,36.1,0.787,0.525,21.3,5.2,4.3,2.4,1
Jimmy Butler,G-F,33.2,0.868,0.494,18.2,5.3,4,1.8,0.53
Bruno Caboclo,F,23.5,0.84,0.533,8.3,4.6,1.5,0.41,0.97
Jose Calderon,G,13.2,0.818,0.433,2.4,1.3,2.4,0.33,0.06
Kentavious Caldwell-Pope,G,24.8,0.867,0.529,11.4,2.9,1.3,0.89,0.16
Isaiah Canaan,G,26.4,0.75,0.492,7.5,2.6,3.3,0.63,0
Isaiah Canaan,G,13.6,1,0.5,4.7,0.7,2.7,0.29,0.14
Isaiah Canaan,G,7.6,0,0.5,1.5,1,0.8,0,0.25
Clint Capela,C,33.6,0.636,0.648,16.6,12.6,1.4,0.66,1.52
DeMarre Carroll,F,25.4,0.76,0.487,11.1,5.2,1.3,0.45,0.15
Wendell Carter Jr.,F,25.2,0.795,0.495,10.3,7,1.8,0.59,1.34
Jevon Carter,G,14.8,0.813,0.395,4.4,1.7,1.8,0.67,0.26
Vince Carter,G-F,17.5,0.712,0.55,7.4,2.6,1.1,0.58,0.36
Michael Carter-Williams,G,9,0.462,0.467,4.3,0.8,1.3,0.56,0.38
Michael Carter-Williams,G,18.9,0.741,0.363,5.4,4.8,4.1,0.92,0.83
Alex Caruso,G,21.2,0.797,0.514,9.2,2.7,3.1,0.96,0.36
Omri Casspi,F,14.5,0.672,0.581,6.3,3.2,0.7,0.56,0.25
Willie Cauley-Stein,C,27.3,0.551,0.557,11.9,8.4,2.4,1.19,0.63
Troy Caupain,G,3.9,0,0.625,2.5,0.8,1,0.25,0
Tyler Cavanaugh,F,3.6,1,0.35,0.8,0.7,0.1,0,0
Tyson Chandler,C,12.7,0.556,0.667,3.7,5.6,0.9,0.29,0.14
Tyson Chandler,C,16.4,0.594,0.609,3.1,5.6,0.6,0.4,0.5
Wilson Chandler,F,26.4,0.722,0.551,6.7,4.6,2,0.61,0.5
Wilson Chandler,F,15,0.714,0.447,4.3,3.1,0.7,0.2,0.2
Joe Chealey,G,7.8,0,0.333,2,0,1,0,0
Chris Chiozza,G,4.6,0,0.375,0.9,0.6,0.6,0.14,0.14
Marquese Chriss,F,6.5,0.857,0.338,1.8,1.8,0.4,0.13,0.25
Marquese Chriss,F,14.6,0.684,0.435,5.7,4.2,0.6,0.56,0.26
Gary Clark,F,12.6,1,0.467,2.9,2.3,0.4,0.39,0.53
Ian Clark,G,16.2,0.892,0.48,6.7,1.5,1.6,0.37,0.13
Jordan Clarkson,G,27.3,0.844,0.509,16.8,3.3,2.4,0.69,0.17
John Collins,F-C,30,0.766,0.593,19.5,9.8,2,0.36,0.64
Zach Collins,F-C,17.6,0.746,0.523,6.6,4.2,0.9,0.32,0.86
Darren Collison,G,28.2,0.832,0.527,11.2,3,6,1.45,0.12
Bonzie Colson,F,12.3,0.889,0.397,4.9,3.8,0.4,0.63,0.13
Mike Conley,G,33.5,0.845,0.507,21.1,3.4,6.4,1.34,0.31
Pat Connaughton,G,20.7,0.725,0.56,6.9,4.2,2,0.54,0.43
Quinn Cook,G,14.3,0.769,0.557,6.9,2.1,1.5,0.27,0.04
DeMarcus Cousins,C,25.7,0.736,0.515,16.3,8.2,3.6,1.33,1.47
Robert Covington,F,33.8,0.739,0.556,11.3,5.2,1.1,1.85,1.77
Robert Covington,F,34.7,0.773,0.545,14.5,5.7,1.5,2.27,1.05
Allen Crabbe,G-F,26.4,0.732,0.5,9.6,3.4,1.1,0.53,0.3
Torrey Craig,F,20,0.7,0.526,5.7,3.5,1,0.49,0.61
Jamal Crawford,G,18.9,0.845,0.474,7.9,1.3,3.6,0.52,0.19
Mitchell Creek,F,8.9,0.714,0.5,3.8,2.5,1.3,0.25,0
Mitchell Creek,F,11.5,0,0.5,6,2,1,1,0
Jae Crowder,F,27.1,0.721,0.507,11.9,4.8,1.7,0.8,0.39
Dante Cunningham,F,14.5,0.778,0.57,3,2.9,0.8,0.41,0.2
Seth Curry,G,18.9,0.846,0.577,7.9,1.6,0.9,0.47,0.16
Stephen Curry,G,33.8,0.916,0.604,27.3,5.3,5.2,1.33,0.38
Troy Daniels,G,14.9,0.783,0.545,6.2,1.4,0.5,0.51,0.1
Anthony Davis,F-C,33,0.794,0.54,25.9,12,3.9,1.57,2.41
Deyonta Davis,C-F,13.2,0.6,0.682,4,3.9,0.6,0.33,0.56
Ed Davis,C,17.9,0.617,0.616,5.8,8.6,0.8,0.43,0.41
Tyler Davis,C,0.9,0,0,0,1,0,0,0
Dewayne Dedmon,C,25.1,0.814,0.571,10.8,7.5,1.4,1.08,1.13
Sam Dekker,F,18.8,0.8,0.51,6.3,3.7,1,1.22,0
Sam Dekker,F,16.3,0.556,0.505,6.1,3,1,0.74,0.18
Angel Delgado,C,7.4,0.5,0.2,1.5,2,0,0.5,0
Matthew Dellavedova,G,8.1,1,0.421,1.7,0.8,2.4,0.17,0
Matthew Dellavedova,G,19.9,0.792,0.502,7.3,1.9,4.2,0.33,0.06
Luol Deng,F,17.8,0.714,0.559,7.1,3.3,0.8,0.68,0.36
DeMar DeRozan,G,34.9,0.831,0.483,21.2,6,6.2,1.12,0.47
Marcus Derrickson,F,6.1,0.8,0.636,4.2,1.2,0.1,0,0.09
Cheick Diallo,F,14,0.746,0.622,6,5.2,0.5,0.45,0.52
Hamidou Diallo,G,10.3,0.61,0.467,3.7,1.9,0.3,0.41,0.2
Gorgui Dieng,C,13.6,0.83,0.527,6.4,4.1,0.9,0.62,0.54
Spencer Dinwiddie,G,28.1,0.806,0.517,16.8,2.4,4.6,0.59,0.25
Donte DiVincenzo,G,15.2,0.75,0.492,4.9,2.4,1.1,0.48,0.22
Luka Doncic,G-F,32.2,0.713,0.497,21.2,7.8,6,1.08,0.35
Tyler Dorsey,G,9.3,0.615,0.416,3.3,1.6,0.6,0.26,0.04
Tyler Dorsey,G,21.3,0.629,0.526,9.8,3.3,1.9,0.38,0.05
Damyean Dotson,G,27.4,0.745,0.506,10.7,3.6,1.8,0.79,0.14
PJ Dozier,G-F,8.5,0.5,0.429,3.2,2.8,0.8,0.33,0
Goran Dragic,G,27.5,0.782,0.48,13.7,3.1,4.8,0.83,0.14
Andre Drummond,C,33.5,0.59,0.535,17.3,15.6,1.4,1.73,1.76
Jared Dudley,F,20.7,0.696,0.533,4.9,2.6,1.4,0.61,0.27
Kris Dunn,G,30.2,0.797,0.458,11.3,4.1,6,1.48,0.46
Kevin Durant,F,34.6,0.885,0.571,26,6.4,5.9,0.76,1.08
Trevon Duval,G,1.9,0,0.833,1.7,0.3,0.7,0,0
Vincent Edwards,F,7.9,0,0.375,1.5,1,0,0,0
Henry Ellenson,F,12.4,1,0.5,6,4.5,0.5,0,0
Henry Ellenson,F,13.8,0.739,0.5,6,3.4,0.9,0.41,0.12
Wayne Ellington,G,21.3,0.875,0.53,8.4,1.9,1.2,0.96,0.12
Wayne Ellington,G,27.3,0.758,0.57,12,2.1,1.5,1.07,0.11
Joel Embiid,F-C,33.7,0.804,0.517,27.5,13.6,3.7,0.72,1.91
James Ennis III,F,23.7,0.724,0.597,7.4,2.9,0.7,0.95,0.4
James Ennis III,F,15.6,0.696,0.476,5.3,3.6,0.8,0.17,0.44
Drew Eubanks,F,4.9,0.846,0.577,1.8,1.5,0.3,0.09,0.22
Jacob Evans,G,6.8,0,0.377,1.3,0.8,0.8,0.17,0.1
Jawun Evans,G,9.1,0,0.231,0.9,1.7,1.4,0.43,0
Jawun Evans,G,0.6,0,0,0,0,0,0,0
Tyreke Evans,G,20.3,0.719,0.448,10.2,2.9,2.4,0.83,0.28
Dante Exum,G,15.8,0.791,0.46,6.9,1.6,2.6,0.33,0.12
Kenneth Faried,F-C,9.8,0.625,0.607,5.1,3.7,0.2,0.17,0.33
Kenneth Faried,F-C,24.4,0.651,0.603,12.9,8.3,0.7,0.6,0.76
Derrick Favors,F-C,23.2,0.675,0.6,11.8,7.4,1.2,0.74,1.39
Cristiano Felicio,F-C,12.4,0.685,0.531,4,3.7,0.6,0.18,0.12
Raymond Felton,G,11.5,0.923,0.481,4.3,1,1.6,0.3,0.18
Terrance Ferguson,G,26.1,0.725,0.552,6.9,1.9,1,0.54,0.22
Yogi Ferrell,G,15,0.896,0.513,5.9,1.5,1.9,0.51,0.06
Dorian Finney-Smith,F,24.5,0.709,0.507,7.5,4.8,1.2,0.86,0.46
Bryn Forbes,G,28,0.885,0.567,11.8,2.9,2.1,0.55,0.05
Evan Fournier,G-F,31.5,0.806,0.509,15.1,3.2,3.6,0.89,0.15
De'Aaron Fox,G,31.4,0.727,0.497,17.3,3.8,7.3,1.64,0.56
Melvin Frazier Jr.,G-F,4.4,0.25,0.333,1.5,0.5,0.1,0.1,0
Tim Frazier,G,19.3,0.78,0.521,5,2.9,4.4,0.53,0.09
Tim Frazier,G,17.6,0.692,0.5,6.3,2.6,3.5,0.42,0.08
Jimmer Fredette,G,10.8,1,0.276,3.7,1.2,1.3,0.5,0
Channing Frye,F-C,9.5,0.786,0.504,3.6,1.4,0.6,0.17,0.14
Markelle Fultz,G,22.5,0.568,0.432,8.2,3.6,3.1,0.95,0.26
Danilo Gallinari,F,30.3,0.904,0.554,19.8,6.1,2.6,0.72,0.34
Langston Galloway,G,21.8,0.844,0.503,8.4,2.1,1.1,0.46,0.1
Billy Garrett,G,15.9,1,0.407,6.5,0.8,1.8,0.25,0.25
Marc Gasol,C,33.7,0.756,0.499,15.7,8.6,4.7,1.13,1.21
Marc Gasol,C,24.9,0.769,0.527,9.1,6.7,3.9,0.92,0.88
Pau Gasol,C-F,12.2,0.711,0.494,4.2,4.7,1.9,0.19,0.52
Pau Gasol,C-F,10.1,0.5,0.25,1.3,3.3,0.7,0,0.33
Rudy Gay,F,26.7,0.816,0.554,13.7,6.8,2.6,0.78,0.49
Paul George,F,36.9,0.84,0.529,28,8.1,4.1,2.21,0.44
Taj Gibson,F,24.1,0.757,0.576,10.8,6.5,1.2,0.76,0.56
Harry Giles III,F-C,14.1,0.637,0.503,7,3.8,1.5,0.53,0.38
Shai Gilgeous-Alexander,G,26.5,0.8,0.512,10.8,2.8,3.3,1.18,0.55
Rudy Gobert,C,31.8,0.636,0.669,15.9,12.8,2,0.81,2.3
Brandon Goodwin,G,3.6,0.818,0.304,1.4,0.2,0.9,0,0
Aaron Gordon,F,33.8,0.731,0.507,16,7.3,3.7,0.73,0.72
Eric Gordon,G,31.7,0.783,0.525,16.2,2.2,1.9,0.6,0.4
Marcin Gortat,C,16,0.729,0.532,5,5.6,1.4,0.13,0.51
Devonte' Graham,G,14.7,0.761,0.421,4.7,1.4,2.6,0.5,0.04
Treveon Graham,F,20.4,0.818,0.435,5.3,3,1,0.37,0.2
Donte Grantham,F,0.8,0,0,0,0,0,0,0
Jerami Grant,F,32.7,0.71,0.567,13.6,5.2,1,0.76,1.25
Jerian Grant,G,15.6,0.65,0.509,4.2,1.7,2.6,0.73,0.1
Danny Green,G-F,27.7,0.841,0.623,10.3,4,1.6,0.91,0.66
Draymond Green,F,31.3,0.692,0.501,7.4,7.3,6.9,1.44,1.08
Gerald Green,G-F,20.2,0.838,0.535,9.2,2.5,0.5,0.45,0.37
JaMychal Green,F,21.9,0.788,0.545,9.8,6.1,0.9,0.8,0.63
JaMychal Green,F,19.6,0.81,0.582,8.7,6.6,0.6,0.46,0.33
Jeff Green,F,27.2,0.888,0.555,12.3,4,1.8,0.56,0.52
Blake Griffin,F,35,0.753,0.532,24.5,7.5,5.4,0.69,0.37
Daniel Hamilton,G-F,10.7,0.5,0.45,3,2.5,1.2,0.32,0.05
Dusty Hannahs,G,13,1,0.25,4,0.5,2.5,0.5,0
Tim Hardaway Jr.,G,32.6,0.854,0.469,19.1,3.5,2.7,0.91,0.13
Tim Hardaway Jr.,G,29.3,0.767,0.489,15.5,3.2,1.9,0.58,0.11
James Harden,G,36.8,0.879,0.541,36.1,6.6,7.5,2.05,0.73
Maurice Harkless,F,23.6,0.671,0.53,7.7,4.5,1.2,1.12,0.92
Montrezl Harrell,F-C,26.3,0.643,0.617,16.6,6.5,2,0.85,1.34
Devin Harris,G,15.7,0.761,0.47,6.3,1.6,1.8,0.51,0.24
Gary Harris,G,28.8,0.799,0.489,12.9,2.8,2.2,0.96,0.33
Joe Harris,G-F,30.2,0.827,0.621,13.7,3.9,2.4,0.49,0.22
Andrew Harrison,G,4.5,0,0.5,2,0,0,0,0
Andrew Harrison,G,14.4,1,0.346,4.3,1.5,1.7,0.4,0.2
Andrew Harrison,G,6.3,0.5,0.333,1.5,0.8,1.2,0,0
Shaquille Harrison,G,19.6,0.667,0.46,6.5,3,1.9,1.22,0.41
Tobias Harris,F,34.6,0.877,0.562,20.9,7.8,2.7,0.73,0.44
Tobias Harris,F,35,0.841,0.524,18.2,7.9,2.9,0.41,0.48
Isaiah Hartenstein,F-C,7.9,0.786,0.512,1.9,1.7,0.5,0.25,0.43
Josh Hart,G,25.6,0.688,0.506,7.8,3.7,1.4,0.96,0.6
Udonis Haslem,F,7.5,0.75,0.333,2.5,2.7,0.2,0,0
Gordon Hayward,F,25.9,0.834,0.527,11.5,4.5,3.4,0.82,0.32
John Henson,F,13.5,0.6,0.545,5.6,5.1,1,0.5,0.79
Juancho Hernangomez,F,19.4,0.767,0.546,5.8,3.8,0.8,0.39,0.36
Willy Hernangomez,C,14,0.694,0.542,7.3,5.4,1,0.28,0.36
Mario Hezonja,F,20.8,0.763,0.457,8.8,4.1,1.5,0.98,0.14
Isaiah Hicks,F,10.8,0.8,0.5,4,2.3,0.7,0.33,1
Buddy Hield,G,31.9,0.886,0.56,20.7,5,2.5,0.71,0.39
Haywood Highsmith,F,8,0,0.45,1.8,1,0.4,0.2,0
George Hill,G,26.5,0.85,0.575,10.8,2.1,2.8,0.92,0.08
George Hill,G,20.4,0.815,0.493,6.8,2.6,2.1,0.83,0.15
Solomon Hill,F,20,0.719,0.472,4.3,3,1.3,0.52,0.23
Aaron Holiday,G,12.9,0.82,0.483,5.9,1.3,1.7,0.4,0.26
Jrue Holiday,G,35.8,0.768,0.523,21.2,5,7.7,1.64,0.81
Justin Holiday,G,34.9,0.891,0.506,11.6,4.4,2.2,1.74,0.58
Justin Holiday,F-G,29.1,0.9,0.474,9.5,3.5,1.4,1.23,0.34
John Holland,G,0.7,0,,0,0,0,0,0
Rondae Hollis-Jefferson,F,20.9,0.645,0.42,8.9,5.3,1.6,0.75,0.46
Richaun Holmes,F-C,16.9,0.731,0.608,8.2,4.7,0.9,0.6,1.13
Rodney Hood,G,27.4,0.912,0.488,12.2,2.5,2,0.84,0.11
Rodney Hood,G,24.4,0.805,0.518,9.6,1.6,1.3,0.81,0.22
Al Horford,F-C,29,0.825,0.586,13.6,6.7,4.1,0.85,1.26
Danuel House Jr.,F-G,25.1,0.789,0.615,9.4,3.6,1,0.54,0.28
Dwight Howard,C,25.5,0.604,0.623,12.8,9.2,0.4,0.78,0.44
Kevin Huerter,G,27.3,0.732,0.521,9.7,3.3,2.9,0.88,0.33
Isaac Humphries,C,11.3,0,0.357,3,2.2,0,0.2,0
RJ Hunter,G,25.7,0.5,0.615,17,3,3,1,0
Chandler Hutchison,F,20.3,0.605,0.493,5.2,4.2,0.8,0.52,0.14
Serge Ibaka,F-C,27.2,0.763,0.557,15,8.1,1.3,0.39,1.38
Andre Iguodala,G-F,23.2,0.582,0.579,5.7,3.7,3.2,0.9,0.75
Ersan Ilyasova,F,18.4,0.824,0.514,6.8,4.5,0.8,0.48,0.3
Joe Ingles,F,31.3,0.707,0.565,12.1,4,5.7,1.18,0.24
Andre Ingram,G,3.7,0,0,0,0.5,0,0.25,0
Brandon Ingram,F,33.9,0.675,0.519,18.3,5.2,3,0.54,0.6
Kyrie Irving,G,33,0.873,0.557,23.8,5,6.9,1.55,0.51
Jonathan Isaac,F,26.6,0.815,0.499,9.6,5.5,1.1,0.79,1.29
Wes Iwundu,F,18.1,0.816,0.465,5,2.7,1.1,0.41,0.32
Jaren Jackson Jr.,F-C,26.1,0.766,0.548,13.8,4.7,1.1,0.9,1.41
Demetrius Jackson,G,6.6,1,0.6,3.7,0.5,0.8,0.33,0
Frank Jackson,G,19.2,0.74,0.492,8.1,2.2,1.1,0.41,0.03
Josh Jackson,F,25.2,0.671,0.456,11.5,4.4,2.3,0.92,0.71
Justin Jackson,F,20.8,0.82,0.517,6.7,2.8,1.3,0.44,0.25
Justin Jackson,F,18.3,0.724,0.568,8.2,2.3,1,0.31,0.03
Reggie Jackson,G,27.9,0.864,0.504,15.4,2.6,4.2,0.66,0.11
LeBron James,F,35.2,0.665,0.56,27.4,8.4,8.3,1.31,0.6
Amile Jefferson,F,5.7,0.875,0.625,2.3,1.8,0.3,0.25,0.25
John Jenkins,G,3.6,0,1.5,1.5,0.3,0.3,0,0
John Jenkins,G,14.5,0.833,0.485,5.2,1.6,1,0,0.09
Jonas Jerebko,F,16.7,0.8,0.556,6.3,3.9,1.3,0.37,0.25
Alize Johnson,F,4.6,0.5,0.281,0.9,1.4,0.1,0.07,0.21
Amir Johnson,C-F,10.4,0.756,0.541,3.9,2.9,1.2,0.31,0.27
BJ Johnson,F,7.2,1,0.594,3.5,1.3,0,0.33,0
BJ Johnson,F,6.1,0,0.5,2,0,0,0,0
James Johnson,F,21.2,0.714,0.499,7.8,3.2,2.5,0.64,0.49
Stanley Johnson,F,20,0.804,0.454,7.5,3.6,1.3,1,0.27
Stanley Johnson,F,13.7,0.692,0.478,5.3,2.3,1.6,0.67,0.06
Tyler Johnson,G,25.5,0.693,0.516,10.8,2.7,2.5,0.91,0.48
Tyler Johnson,G,31.2,0.872,0.44,11.1,4,4.2,1.08,0.46
